Date,DIA,EEM,GLD,IWM,IYR,QQQ,SPY,TLT,USO
2022-01-07,351.76513671875,47.379058837890625,167.75,211.62071228027344,106.7750244140625,376.4981689453125,455.2144470214844,137.22921752929688,56.66999816894531
2022-01-10,350.289306640625,47.379058837890625,168.25999450683594,210.88616943359375,106.23565673828125,376.7459716796875,454.6479797363281,137.56686401367188,56.15999984741211
2022-01-11,351.9883728027344,48.47414016723633,170.2899932861328,213.12901306152344,106.5053482055664,382.40545654296875,458.7890625,138.48329162597656,58.15999984741211
2022-01-12,352.3864440917969,49.27848434448242,170.74000549316406,211.5423583984375,106.61128997802734,383.9219055175781,460.0294189453125,137.95274353027344,58.90999984741211
2022-01-13,350.6873779296875,48.58073806762695,170.16000366210938,209.60313415527344,106.274169921875,374.3176574707031,453.69085693359375,139.17779541015625,58.27000045776367
2022-01-14,348.6873779296875,48.56135559082031,169.6699981689453,209.89694213867188,105.26287078857422,376.6468505859375,453.8764343261719,137.07493591308594,59.970001220703125
2022-01-18,343.5512390136719,47.69886016845703,169.38999938964844,203.55038452148438,104.31897735595703,367.27056884765625,445.8384704589844,135.14566040039062,60.970001220703125
2022-01-19,340.1531066894531,47.90237045288086,172.0800018310547,200.24000549316406,103.00909423828125,363.236572265625,441.2090759277344,136.08131408691406,61.04999923706055
2022-01-20,337.2209777832031,48.183406829833984,171.64999389648438,196.61618041992188,101.72810363769531,358.5187683105469,436.32574462890625,136.92056274414062,60.65999984741211
2022-01-21,332.63311767578125,47.48565673828125,171.08999633789062,192.93362426757812,101.48731994628906,348.5774841308594,427.7604064941406,138.55081176757812,60.779998779296875
2022-01-24,334.05169677734375,46.816986083984375,172.02999877929688,197.38014221191406,101.65104675292969,350.1732482910156,429.57696533203125,137.41253662109375,60.11000061035156
2022-01-25,333.2257080078125,46.729766845703125,172.5800018310547,194.74549865722656,101.18873596191406,342.05572509765625,424.332275390625,137.190673828125,60.970001220703125
2022-01-26,331.7683410644531,46.138614654541016,169.7899932861328,191.93460083007812,99.55138397216797,341.5205078125,423.2677307128906,135.53150939941406,61.68000030517578
